,author_id,created_at,id,public_metrics,referenced_tweets,text
69,1485402459212234754,2022-09-16 15:36:01+00:00,1570798669095669761,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570757560336265219 type=replied_to],@RenataSokolov ☹️ ¿Verdad? … para @petrogustavo esa palabra no existe!
70,1497164486,2022-09-16 15:35:55+00:00,1570798643803979776,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1569981657788125186 type=replied_to],@IvanCepedaCast Por qué no encuentro la invitación pública dada directamente por @petrogustavo???
72,866463439421616129,2022-09-16 15:35:45+00:00,1570798604234952704,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570758420248272897 type=replied_to],"@petrogustavo Traen el logo de la caballería Afgana. Seguramente iba a ser enviados primero a ese país pero por lo que ocurrió terminaron en Colombia. 
Gran adquisición para nuestro país!! https://t.co/t8ytwsWM95"
73,1062756656839299072,2022-09-16 15:35:33+00:00,1570798550887567360,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570790499526770694 type=replied_to],"@Tatabachi @misaknamuy @petrogustavo @smurfitkappa @alfonsoprada @onucolombia @ONU_es @SumOfUs @OMAL_info Ellos no, uds indios partida de hptas acaparadores"
74,584166271,2022-09-16 15:35:31+00:00,1570798542410911744,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570775633256673280 type=replied_to],@MagicThe0 @BluRadioCo @petrogustavo Dios que no sufra... que siga la luz 🕯🕯🕯
75,742162788756393984,2022-09-16 15:35:14+00:00,1570798470847664128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570758420248272897 type=replied_to],"@petrogustavo El fin de los helicópteros, cómo viven de sabroso. https://t.co/OvFKkNoU3O"
76,142382189,2022-09-16 15:35:10+00:00,1570798457639809028,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570201819598540802 type=replied_to],@Juanparal @petrogustavo https://t.co/A6Axymr8s9
77,446248216,2022-09-16 15:35:09+00:00,1570798451105075201,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570587497507459072 type=replied_to],"@arjima1 Así fuera cierto. #EEUUMienteSiempre no es el patrón ni dl presidente @petrogustavo ni d Colombia, potencia mundial d la vida. NO SOMOS LACAYOS D NADIE. LO Q PIENSEN LOS YANKEES DE MIERDA, NOS VALE VERGA. Pero, sí DEBEMOS estar alerta XQ esos criminales son capaces de todo."
78,15344412,2022-09-16 15:35:09+00:00,1570798449494491136,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570720139200589827 type=replied_to],"@MelidaBarrios1 @wilsonariasc @petrogustavo Cuando si entienden de política, este es el mensaje más acertado que no puedo leer..no es izquierda, señora es DINAMISMO...y aquí ha gobernado toda la derecha y no la buena, y enderezada a la misma derecha...y los seguidores de los mismos desgobiernos de continuidad son derecha y"
79,215505734,2022-09-16 15:34:58+00:00,1570798406150520835,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570190448911683587 type=replied_to],"@DanieLopezQSR @IglesiasJulio87 @petrogustavo Claro, donde el 95% de los colombianos solo podrán cotizar en el público. Sector que no ahorra porque se basa en su esquema piramidal. Y por supuesto que lo manejara el gobierno. Petro lo dijo. Tomaré el dinero de las AFP para pagar la pensión de 500 mil pesos."
81,1161099156393549825,2022-09-16 15:34:52+00:00,1570798379592224768,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570430792098254856 type=replied_to],@angelma02418315 @ConservadorCol_ A la vista un Uribestia resentido y dolido. Sacarlo? No sacaron al otro que mantenía de robo en robo. @petrogustavo no se poseciono sin el apoyo del pueblo y el pueblo sigue apoyando a nuestro presidente.
82,90058453,2022-09-16 15:34:51+00:00,1570798376664576004,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570758420248272897 type=replied_to],"@petrogustavo Grave que cada gobierno  de turno en Colombia se empeñe en seguir entregando el país a extranjeros, ahora el amazonas, hagame el favor! 🤦🏽‍♂️"
83,295810339,2022-09-16 15:34:50+00:00,1570798372629643264,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570798082979151873 type=replied_to],@betancu_beta @FRuddR @petrogustavo bot N- 7857434
84,962715876813426689,2022-09-16 15:34:50+00:00,1570798370259890176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570748110502260739 type=quoted],"#DondeEstaCamilo?
Presidente @petrogustavo por favor, apóyenos hasta encontrar a  Camilo y esclarecer el caso. SOS https://t.co/d7E9ZKVTo0"
